Class,Axioms,Coverage
http://www.w3.org/2002/07/owl#Thing,33,1.0000
file:/C:/ccviews/forget/experiment/experiment87/gallic-acid,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/americas,5,0.1515
file:/C:/ccviews/forget/experiment/experiment87/antidiarrheals,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/gastric-mucosa,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/hypertrophy,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/endocrine-cell,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/benzopyrans,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/timefurone,3,0.0909
file:/C:/ccviews/forget/experiment/experiment87/httpsbmi,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/synaptic-potentials,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/america,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/miniature-postsynaptic-potentials,3,0.0909
file:/C:/ccviews/forget/experiment/experiment87/enteroendocrine-cells,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/piperidines,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/antianxiety-agent,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/organic-compound,3,0.0909
file:/C:/ccviews/forget/experiment/experiment87/substance-related-to-drugs,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/early-childhood-caries,3,0.0909
file:/C:/ccviews/forget/experiment/experiment87/geographic-locations,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/CHV_Concept,2,0.0606
file:/C:/ccviews/forget/experiment/experiment87/antilipidemic-agent,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/bismuth-subgallate,9,0.2727
file:/C:/ccviews/forget/experiment/experiment87/endocrine-disease,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/pirenperone,3,0.0909
file:/C:/ccviews/forget/experiment/experiment87/UMLS_Concept,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/north-america,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/dental-caries,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/giant-hypertrophy,3,0.0909
file:/C:/ccviews/forget/experiment/experiment87/gastrin-secreting-cells,4,0.1212
file:/C:/ccviews/forget/experiment/experiment87/hypertrophy-nos,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/organometallic-compounds,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/protectant-nos,1,0.0303
file:/C:/ccviews/forget/experiment/experiment87/postsynaptic-potential,1,0.0303
