Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment23/Cloaca,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/organic-cation,4,0.0400
file:/C:/ccviews/forget/experiment/experiment23/hdc-gene,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/lectin,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/vesicular-stomatitis-indiana-virus,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/abdominal-external-oblique-muscle,2,0.0200
file:/C:/ccviews/forget/experiment/experiment23/size-fractionation,4,0.0400
file:/C:/ccviews/forget/experiment/experiment23/Utricle,9,0.0900
file:/C:/ccviews/forget/experiment/experiment23/vestibular-apparatus,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Antheridium,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Archegonium,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/carboxy-lyase,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Middle-Ear,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/jacalin,2,0.0200
file:/C:/ccviews/forget/experiment/experiment23/Pharyngeal-Cleft,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/vesicular-stomatitis-virus-x7c-bld-ser-plas,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/protein-kinase-a,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Round-Window,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Micropyle,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/static-organ,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Body-Cavity,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/animal-virus,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/ligament,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Vestibule-Of-The-Ear,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/vesicular-stomatitis-virus,13,0.1300
file:/C:/ccviews/forget/experiment/experiment23/vesicular-stomatitis-virus-x7c-tissue-and-smears,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/crocus-sativus,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Abdominal-Cavity,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/httpsbmi,2,0.0200
file:/C:/ccviews/forget/experiment/experiment23/Synapse,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Oval-Window,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/crocus,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Blastocoel,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Central-Canal,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/lyase,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/decarboxylase,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/experimental-process,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/plant-lectins,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Renal-Medulla,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Gastrovascular-Cavity,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Ventricle,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/vesiculovirus,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Auditory-Space,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/histamine-production,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/cation,1,0.0100
