Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment23/Stoma,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Renal-Pelvis,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/ear-part,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/leminoprazole,2,0.0200
http://www.w3.org/2002/07/owl#Thing,100,1.0000
file:/C:/ccviews/forget/experiment/experiment23/vesicular-stomatitis-virus-x7c-skin,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/vestibular-labyrinth,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/nucleic-acid-library-construction-protocol,2,0.0200
file:/C:/ccviews/forget/experiment/experiment23/Spongocoel,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/nikkajicompounds,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Synaptic-Cleft,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/pectineal-ligament,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/carboxy-lyases,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/vesicular-stomatitis-new-jersey-virus,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Outer-Ear,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/organic-ion,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/inguinal-ring,5,0.0500
file:/C:/ccviews/forget/experiment/experiment23/superficial-inguinal-ring,3,0.0300
file:/C:/ccviews/forget/experiment/experiment23/J386,2,0.0200
file:/C:/ccviews/forget/experiment/experiment23/Mitochondrial-Matrix,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/abdomen-element,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/lyase-nos,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Oral-Cavity,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/non-human-viruses,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Osculum,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/inguinal-ligament,16,0.1600
file:/C:/ccviews/forget/experiment/experiment23/Semicircular-Canal,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/vesicular-stomatitis-virus-x7c-throat,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/abdominal-internal-oblique-muscle,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/rhabdoviridae,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/ligaments,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/deep-inguinal-ring,3,0.0300
file:/C:/ccviews/forget/experiment/experiment23/CARO_0000000,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Blas,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/histidine-decarboxylase,8,0.0800
file:/C:/ccviews/forget/experiment/experiment23/macula-of-utricle,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Pupil-Of-An-Eye,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/biochemical-analysis,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/cremaster-muscle,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/vesicular-stomatitis-alagoas-virus,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/cyclic-amp-dependent-protein-kinase-riibeta-subunit,4,0.0400
file:/C:/ccviews/forget/experiment/experiment23/Atrium,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/cyclic-amp-dependent-protein-kinase-type-ii,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/benzimidazoles,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Optic-Chiasm,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Pharyngeal-Slit,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/subunit,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/UMLS_Concept,3,0.0300
file:/C:/ccviews/forget/experiment/experiment23/vesicular-stomatitis-virus-x7c-xxx,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Saccule,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/quaternary-ammonium-ion,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/carbon-monoxide-1-,1,0.0100
file:/C:/ccviews/forget/experiment/experiment23/Duodenum,1,0.0100
