Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment42/nerve-threshold,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neurophysiology,83,0.7545
file:/C:/ccviews/forget/experiment/experiment42/UMLS_Concept,2,0.0182
file:/C:/ccviews/forget/experiment/experiment42/higher-nervous-activity,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/ear-infection,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/sanguinaria,4,0.0364
file:/C:/ccviews/forget/experiment/experiment42/spreading-cortical-depression,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/nerve-response,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neural-plasticity,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/sight-movement,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/hematotympanum,3,0.0273
file:/C:/ccviews/forget/experiment/experiment42/hemispheric-asymmetry,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/herpes-zoster-oticus,7,0.0636
file:/C:/ccviews/forget/experiment/experiment42/hyperpolarization,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/biome,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neural-initiation,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/region,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/autonomic-nervous-system-activities,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/environmental-zone,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/brain-activity,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/chronaxy,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/electrophysiology,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/brain-plasticity,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neural-mechanism,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neural-conduction,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/brain-and-mind-mechanisms,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neural-transmission,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/CHV_Concept,3,0.0273
file:/C:/ccviews/forget/experiment/experiment42/sensorimotor-control,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neuronal-plasticity,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/prepulse-inhibition,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/bilateral-breast-cancer,3,0.0273
file:/C:/ccviews/forget/experiment/experiment42/refractory-period-electrophysiological,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/physiology,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/inhibitory-postsynaptic-potential,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/depolarization--physiology-,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/brain-electrical-activity,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/ovarian-follicle,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/disorder-of-middle-ear-nos,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/biological-phenomenon-process-and-state,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/recruitment-neurophysiological,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neural-induction,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/single-neuron-activity,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/sensorimotor-gating,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neuroregulation,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/ramsey-hunt-syndrome,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/hemorrhage,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neuronal-information-processing,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/cell--cytology-,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/dominance-ocular,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/excitation--physiology-,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/information-processing-in-brain,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neurovascular-coupling,1,0.0091
http://www.w3.org/2002/07/owl#Thing,110,1.0000
file:/C:/ccviews/forget/experiment/experiment42/cancer-in-both-breasts,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neural-recruitment,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/brain-interhemispheric-activity,1,0.0091
