Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment42/neuronal-excitability,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/cortical-reorganization,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/reflex,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/lateral-inhibition,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/evoked-otoacoustic-emission,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/axonal-transport,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/shingles,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/sensorimotor-integration,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/herpes-zoster,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/synaptic-depression,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neurosciences,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neural-control,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neural-facilitation,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/synaptic-tagging-hypothesis,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neural-information-processing,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/sensory-gating,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/ear-disease,2,0.0182
file:/C:/ccviews/forget/experiment/experiment42/cortical-plasticity,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neuromuscular-function,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/microglial-activation,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/theca-cells,5,0.0455
file:/C:/ccviews/forget/experiment/experiment42/cardiac-autonomic-nervous-system-activity,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/cortical-spreading-depression,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neural-modification,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/cerebral-activation,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/dominance-cerebral,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/ecoregion,4,0.0364
file:/C:/ccviews/forget/experiment/experiment42/httpsbmi,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neurobiology,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/presynaptic-inhibition,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neural-activity,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/intracerebral-function,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/ecozone,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/frontal-function,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/tonic-inhibition,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/innervation,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/otoacoustic-emissions-spontaneous,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/kindling--neurology-,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/rod-cone-interaction,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/nervous-system-physiologic-phenomena,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/memory-consolidation,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/papaveraceae,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/nerve-conduction,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/breast-neoplasm,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/olfactory-information-processing,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/parasympathetic-nerve-activity,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neuroprotection,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/neural-inhibition,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/brain-function,1,0.0091
file:/C:/ccviews/forget/experiment/experiment42/cortical-excitability,1,0.0091
