Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment8/gingival-and-periodontal-disease,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/Earthworm,14,0.1217
file:/C:/ccviews/forget/experiment/experiment8/non-neoplastic-liver-and-intrahepatic-bile-duct-disorder,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/simple-marginal-gingivitis,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/archaeoglobus-fulgidus,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/g-protein-coupled-receptor-kinase,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/nikkajicompounds,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/tympanic-plate,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/signal-transduction,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/desquamative-gingivitis,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/molluginaceae,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/foramen-of-skull,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/petrous-part-of-temporal-bone,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/archaeoglobus,4,0.0348
file:/C:/ccviews/forget/experiment/experiment8/lambdoid-suture,5,0.0435
file:/C:/ccviews/forget/experiment/experiment8/CHV_Concept,1,0.0087
http://www.w3.org/2002/07/owl#Thing,115,1.0000
file:/C:/ccviews/forget/experiment/experiment8/temporal-fenestra,3,0.0261
file:/C:/ccviews/forget/experiment/experiment8/parietomastoid-suture,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/role--knapsack-,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/archaebacterium,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/Extracellular-Digestion,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/proventriculus,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/facial-nerve-canal,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/occipitomastoid-suture,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/splanchnocranium,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/chronic-liver-disease,4,0.0348
file:/C:/ccviews/forget/experiment/experiment8/apicectomy,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/Intestine,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/quality--knapsack-,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/jugular-foramen,4,0.0348
file:/C:/ccviews/forget/experiment/experiment8/dermatologic-drug,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/skull,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/serine-threonine-kinase,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/httpsbmi,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/chronic-gingivitis,9,0.0783
file:/C:/ccviews/forget/experiment/experiment8/endolymphatic-sac-tumor,5,0.0435
file:/C:/ccviews/forget/experiment/experiment8/Oligochaete,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/endocytosis-pathway,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/Crop,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/-enclose,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/Anus,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/disease-of-teeth-nos,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/mastoid,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/caryophyllales,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/Secretor,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/cafestol,4,0.0348
file:/C:/ccviews/forget/experiment/experiment8/aves,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/chondrocranium,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/subarcuate-fossa,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/stomach,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/aggressive-clinical-course,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/J10,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/ulcerative-gingivitis,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/dermatocranium,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/squamous-part-of-temporal-bone,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/hyperplastic-gingivitis,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/liver-disease,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/petrous-bone,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/mastoid-process-of-temporal-bone,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/grk6-gene,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/Nutrition,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/experimental-organism-anatomical-concept,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/Biological-Region,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/structure-with-developmental-contribution-from-neural-crest,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/chemokine-signaling-pathway,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/zygomatic-process-of-temporal-bone,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/dextrans,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/Carbohydrate,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/antipsoriatic,3,0.0261
file:/C:/ccviews/forget/experiment/experiment8/Entity,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/archaeoglobales,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/fenestra,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/Pharynx,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/diterpenes,1,0.0087
