Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment8/Mouth,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/suprameatal-foramen,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/Hydrogen,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/pyloric-gastric-gland,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/labeled-compound,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/cranial-suture,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/gingivitis,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/human,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/ID-7154,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/ID-7155,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/smooth-muscle-tissue,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/papillary-epithelial-neoplasm,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/ID-7157,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/ID-7158,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/occipital-bone,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/ID-7150,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/ID-7151,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/ID-7152,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/ID-7153,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/irregular-bone,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/posterior-digastric-muscle,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/g-protein-coupled-receptor-kinase-6,10,0.0870
file:/C:/ccviews/forget/experiment/experiment8/internal-jugular-vein,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/biotin,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/cxcr4-mediated-signaling-pathway,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/hemosiderin-deposition,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/Gizzard,11,0.0957
file:/C:/ccviews/forget/experiment/experiment8/tetrapod-parietal-bone,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/pneumatized-bone,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/carotid-canal,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/gizzard-smooth-muscle,3,0.0261
file:/C:/ccviews/forget/experiment/experiment8/Move-Out-Of,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/styloid-process-of-temporal-bone,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/mastoid-air-cells,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/ID-7160,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/Esophagus,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/mastoid-process,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/levator-veli-palatini,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/ID-7164,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/chronic-gingivitis-nos,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/temporal-bone,41,0.3565
file:/C:/ccviews/forget/experiment/experiment8/serinethreonine-phosphorylation,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/aditus-ad-antrum,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/-equal,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/UMLS_Concept,2,0.0174
file:/C:/ccviews/forget/experiment/experiment8/biotinylated-dextran-amine,3,0.0261
file:/C:/ccviews/forget/experiment/experiment8/Animal-Structure,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/Chemical-Entity,1,0.0087
file:/C:/ccviews/forget/experiment/experiment8/gingivostomatitis,1,0.0087
