Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment53/biotinyldicaproyl-glutamyl-glycyl-arginyl-chloromethylketone,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotinamide,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotin-bsa-gddtpa,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotin-4-amidobenzoic-hydrazide,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/ipomoea-coccinea,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotinyltyramide,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/vasopressin---2-mercapto-propionic-acid--1---lys-n-6--biotin--8--,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/rhodamin-biotin-distearylphosphatidylethanolamine,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/ipomoea,11,0.0383
file:/C:/ccviews/forget/experiment/experiment53/biotin-hydrazide,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/8-n-3--3-biotinyl-atp,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotin-12-ss-dutp,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/tetranorbiotin-sulfoxide,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotinyl-epsilon-aminohexanoyl-alanyl-arginyl-valyl-tyrosyl-isoleucyl-histidyl-prolyl-phenylalanyl-4n3--hydroxy,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/-47-bis-carboxymethyl-10--1--2--5--2-oxohexahydrothieno-34-d-imidazol-6-yl--pentanoylamino-ethyl--1h--123-triazol-4-ylmethyl--14710-tetraazacyclododec-1-yl-acetic-acid,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/ipomoea-hederacea,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/n-carbethoxyazabiotin,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/tibia,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotinyl-n-hydroxysuccinimide-ester,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotinylarginylchloromethane,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/n-iodoacetyl-n-biotinylhexylenediamine,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotin-methyl-ester,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/2--carboxymethyl--3--4-cyanophenyl--1--3--------hexahydro-2-oxo-1h-thieno-34-d-imidazol-4-yl-butyl-carbonyl-amino-ethylamino-carbonyl-methyl--4-methyl-2-oxobenzopyran-7-yl-guanidine,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/n-1--biotinyl-n-8---cgmp-succinyl--18-diamino-36-dioxaoctane,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/6---biotinyl-n-epsilon-aminocaproyl-n-cystamine-n-carbonyl-methylsulfonyl-aminopenicillanic-acid-ss-dioxide,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/clostridium-nos,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/4--2--2--2--biotinylamino-ethoxy-ethoxy-ethoxy-aminocarbonyl-2-diphenylphosphinobenzoic-acid,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/n--4-hydroxy-3-iodophenylethyl-biotin-amide,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/n-biotinyl--ethylenediamine-15-gramidicin-a,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotinylated-uls-platinum-complex,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/norbiotinyl-gamma-glutamylamide,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/nbc-insulin,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotin-36-dc7atp,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/o--biotinylcarbazoylmethyl-hydroxylamine,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/water-convolvulus,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/vitamin-nos,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/tbl-4-k-compound,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/ligament,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/cgp-81077,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/dppb-compound,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/cardiovascular-surgical-procedure,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/ipomoea-carnea,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/atp-gamma-biotin-lc-peo-amine,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/diaminobiotin,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/patellar-ligament,9,0.0314
file:/C:/ccviews/forget/experiment/experiment53/biotin-galactosylceramide,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/1-biotinamido-4--4--maleimidomethyl-cyclohexanecarboxamido-butane,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotin-phosphoramidite,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/acm-14-peptide,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/n-hydroxysuccinimidyl-6-biotinylaminohexanoate,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/5--n-biotinyl-3-aminoallyl-uridine-5-monophosphate,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotinylamidoethyl-3--3-iodo-4-hydroxyphenyl-propionamide,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/clostridium-bifermentans,3,0.0105
file:/C:/ccviews/forget/experiment/experiment53/biotinylcyclopentadienylmanganese-tricarbonyl,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/trifluoroacetyl-alphaalpha-diethyl-gly-lys-nepsilonbiotin---d-lys-cys,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/biotinylated-iodo-polylysine,1,0.0035
file:/C:/ccviews/forget/experiment/experiment53/tat9-k-biotin,1,0.0035
